description,name,id,requirement_type,requirement_value,created_at,category,icon,rarity
Félicitations pour votre premier fail partagé !,Premier Pas,first-fail,fail_count,1,2025-08-08 16:22:31.212048+00,COURAGE,footsteps-outline,common
Partager 5 fails,Apprenti,fail-master-5,fail_count,5,2025-08-08 16:22:31.212048+00,COURAGE,school-outline,common
Partager 10 fails,Collectionneur,fail-master-10,fail_count,10,2025-08-08 16:22:31.212048+00,COURAGE,library-outline,common
Recevoir 10 cœurs de courage,Cœur Brave,courage-hearts-10,reactions_received,10,2025-08-08 16:34:14.63981+00,COURAGE,heart-outline,common
Recevoir 50 cœurs de courage,Cœur Courageux,courage-hearts-50,reactions_received,50,2025-08-08 16:34:14.63981+00,COURAGE,heart-outline,rare
Recevoir 100 cœurs de courage,Héros du Courage,courage-hearts-100,reactions_received,100,2025-08-08 16:34:14.63981+00,COURAGE,medal-outline,epic
Recevoir 500 cœurs de courage,Légende du Courage,courage-hearts-500,reactions_received,500,2025-08-08 16:34:14.63981+00,COURAGE,trophy-outline,legendary
Partager 25 fails,Narrateur,fail-master-25,fail_count,25,2025-08-08 16:34:14.63981+00,COURAGE,book-outline,rare
Partager 50 fails,Grand Collectionneur,fail-master-50,fail_count,50,2025-08-08 16:34:14.63981+00,COURAGE,albums-outline,rare
Partager 100 fails,Maître des Fails,fail-master-100,fail_count,100,2025-08-08 16:34:14.63981+00,COURAGE,ribbon-outline,epic
Partager 365 fails (un an !),Chroniqueur Légendaire,fail-master-365,fail_count,365,2025-08-08 16:34:14.63981+00,COURAGE,calendar-number-outline,legendary
3 jours de partage consécutifs,Régulier,daily-streak-3,streak_days,3,2025-08-08 16:34:14.63981+00,PERSEVERANCE,checkmark-outline,common
7 jours de partage consécutifs,Persévérant,daily-streak-7,streak_days,7,2025-08-08 16:34:14.63981+00,PERSEVERANCE,calendar-outline,common
14 jours de partage consécutifs,Déterminé,daily-streak-14,streak_days,14,2025-08-08 16:34:14.63981+00,PERSEVERANCE,flame-outline,rare
30 jours de partage consécutifs,Marathonien,daily-streak-30,streak_days,30,2025-08-08 16:34:14.63981+00,PERSEVERANCE,fitness-outline,rare
60 jours de partage consécutifs,Titan de la Régularité,daily-streak-60,streak_days,60,2025-08-08 16:34:14.63981+00,PERSEVERANCE,barbell-outline,epic
100 jours de partage consécutifs,Centurion,daily-streak-100,streak_days,100,2025-08-08 16:34:14.63981+00,PERSEVERANCE,shield-outline,epic
